engine_id;game_id
43;1
43;2
6;3
17;3
351;4
28;5
28;6
3;11
100;12
17;15
54;15
17;16
54;16
67;18
17;19
67;19
6;20
6;21
108;34
209;37
485;40
6;41
46;43
92;53
92;54
92;55
54;56
17;59
42;59
54;59
53;62
144;62
144;63
145;63
3;71
3;72
351;73
351;74
351;75
75;76
75;78
68;80
188;83
188;84
131;89
287;95
287;96
287;97
287;98
287;99
287;100
259;101
260;101
287;101
287;104
122;105
9;113
87;114
72;116
72;118
217;121
490;121
3;124
9;127
7;128
327;137
515;137
207;139
208;141
208;142
187;144
139;150
56;152
56;153
138;157
155;162
53;180
144;180
155;180
144;181
145;181
138;196
53;207
108;211
68;214
68;216
190;218
143;221
143;222
278;224
4;231
3;233
454;234
121;240
4;241
6;244
3;247
50;250
70;260
436;270
6;272
121;277
48;280
56;281
97;286
207;289
54;293
25;296
437;299
25;306
3;307
116;312
353;314
154;316
580;318
581;318
74;320
132;322
17;325
56;326
207;327
97;333
121;335
25;336
56;337
3;338
6;341
69;342
137;342
2;343
121;349
121;350
2;351
2;352
121;353
121;354
56;355
48;356
212;359
118;361
114;384
114;389
78;429
78;430
234;432
50;433
26;434
547;436
547;437
548;438
549;439
548;440
234;441
234;442
17;450
99;450
17;451
99;451
105;466
25;471
17;472
95;472
2;473
515;475
516;475
17;478
24;478
42;478
119;488
6;492
6;494
18;495
6;498
351;500
351;501
48;502
47;509
61;517
61;520
54;521
99;524
2;526
118;529
528;530
6;533
78;536
9;537
6;538
89;538
18;539
78;543
416;544
123;545
48;546
6;547
6;548
126;549
126;551
2;556
6;556
17;558
90;558
91;558
123;559
36;560
99;561
6;562
17;562
36;564
327;566
17;569
48;569
355;570
6;571
438;572
6;576
225;578
61;594
101;612
101;616
56;621
123;622
123;623
123;625
6;636
230;640
130;649
17;654
105;654
125;666
130;670
48;680
296;683
54;694
131;706
119;719
54;721
26;731
119;748
28;753
458;763
109;790
110;790
238;797
61;820
157;827
17;828
141;828
28;832
76;836
76;837
121;841
107;866
54;868
311;872
28;876
56;877
102;890
3;891
61;897
6;908
6;909
62;922
154;923
6;928
247;939
192;941
99;943
130;959
26;960
55;960
123;979
22;981
17;986
17;987
17;988
17;989
17;990
17;991
543;999
543;1000
6;1011
351;1014
327;1016
26;1020
351;1021
351;1040
17;1042
90;1042
3;1044
97;1045
119;1048
119;1049
119;1050
6;1051
27;1052
436;1064
87;1081
16;1121
123;1122
13;1126
129;1152
46;1161
46;1162
46;1163
46;1164
17;1183
454;1183
66;1184
210;1216
6;1254
150;1262
33;1265
10;1266
17;1267
25;1268
225;1270
34;1274
13;1279
6;1284
126;1289
147;1304
2;1306
17;1310
61;1310
6;1314
6;1318
6;1319
351;1334
4;1335
61;1336
76;1341
174;1352
174;1353
78;1367
25;1368
105;1369
3;1372
99;1373
99;1374
99;1375
6;1377
38;1381
6;1382
79;1384
351;1386
6;1405
126;1528
126;1529
126;1530
126;1532
126;1541
13;1593
54;1606
54;1607
54;1608
40;1609
17;1628
56;1644
17;1645
123;1646
123;1649
351;1789
126;1798
6;1827
318;1830
2;1832
12;1871
24;1877
13;1878
28;1880
481;1881
250;1883
6;1885
25;1886
491;1887
13;1892
491;1901
351;1902
296;1904
439;1905
13;1906
351;1910
25;1912
6;1916
351;1918
6;1919
143;1927
25;1938
24;1942
17;1958
113;1958
442;1961
13;1962
22;1968
26;1969
10;1970
78;1976
2;1979
17;1981
103;1983
104;1983
29;1985
6;1987
436;1996
6;2003
13;2004
6;2005
103;2006
17;2030
152;2030
47;2031
123;2033
38;2041
103;2042
178;2045
38;2058
6;2064
89;2067
2;2074
351;2108
6;2110
45;2111
2;2112
2;2113
19;2114
3;2115
120;2117
351;2118
79;2126
64;2132
73;2137
99;2138
17;2139
90;2139
99;2159
54;2161
314;2165
119;2192
111;2203
53;2204
65;2248
134;2261
134;2262
42;2263
88;2263
89;2263
13;2274
76;2277
6;2284
13;2346
6;2354
6;2358
234;2359
3;2369
351;2381
76;2437
7;2438
88;2444
415;2444
114;2449
9;2468
76;2468
13;2475
29;2484
69;2533
69;2534
6;2538
6;2539
26;2541
90;2552
3;2608
17;2640
152;2640
106;2667
466;2669
466;2672
76;2745
17;2896
42;2896
200;2903
296;2918
245;2922
101;2924
13;2931
6;2933
476;2935
6;2937
6;2939
69;2947
500;2948
6;2949
214;2955
37;2956
189;2967
25;2976
56;2987
355;2988
64;2990
12;2993
4;2997
542;3011
519;3013
13;3020
61;3025
3;3035
78;3042
6;3046
25;3049
60;3070
13;3076
36;3078
3;3082
6;3085
308;3086
229;3087
54;3088
487;3092
12;3097
45;3098
13;3101
13;3102
97;3111
56;3112
163;3113
2;3146
130;3154
130;3155
153;3160
17;3171
79;3173
351;3188
122;3193
10;3195
126;3208
79;3227
45;3234
109;3235
292;3239
282;3264
3;3267
283;3273
13;3277
3;3278
116;3471
116;3512
45;3695
42;3700
35;3750
136;3752
136;3756
208;3760
106;3772
27;3803
25;3812
6;3941
76;4065
135;4083
