id;name;aggregated_rating;first_release_date
1;Thief II: The Metal Age;90.0;953596800
2;Thief: The Dark Project;70.0;912384000
3;Thief: Deadly Shadows;83.0;1085443200
4;Thief;63.6428571428571;1393286400
5;Baldur's Gate;;914198400
6;Baldur's Gate II: Shadows Of Amn;90.0;969494400
7;Jagged Alliance;;770515200
8;Jagged Alliance: Deadly Games;;820368000
9;Jagged Alliance 2;;932688000
10;Jade Empire: Special Edition;80.0;1113264000
11;Vampire: The Masquerade - Bloodlines;72.3333333333333;1100563200
12;Vampire: The Masquerade - Redemption;60.0;960336000
13;Fallout;;875577600
14;Fallout 2;;907113600
15;Fallout 3;89.1;1225152000
16;Fallout: New Vegas;81.9;1287446400
17;Fallout Tactics: Brotherhood Of Steel;;984614400
18;Max Payne;73.8;995846400
19;Max Payne 2: The Fall Of Max Payne;84.2857142857143;1066089600
20;BioShock;92.625;1187654400
21;BioShock 2;87.0;1265673600
22;System Shock 2;;934329600
23;System Shock;;780192000
24;UFO: Enemy Unknown;85.0;765072000
25;X-COM: Terror From The Deep;;788918400
26;X-COM: Apocalypse;;867628800
27;X-COM: Interceptor;;896572800
33;Space Quest 6: The Spinal Frontier;;791596800
34;Giants: Citizen Kabuto;;976060800
35;Dungeon Keeper;10.0;867283200
36;Dungeon Keeper 2;;930700800
37;Dead Space;88.1666666666667;1223942400
38;Dead Space 2;90.0;1295913600
39;Mafia;62.6666666666667;1030492800
40;Mafia II;72.625;1282608000
41;Deus Ex;90.5;961977600
42;Deus Ex: Invisible War;80.0;1070323200
43;Deus Ex: Human Revolution;92.1111111111111;1314057600
44;Overlord;70.0;1182816000
45;Overlord: Raising Hell;70.0;1203033600
46;Overlord II;78.75;1245715200
47;Overlord: Dark Legend;60.0;1245715200
48;Overlord: Minions;60.0;1245715200
51;Syndicate Wars;50.0;846720000
52;The Elder Scrolls: Arena;88.0;764553600
53;The Elder Scrolls: Chapter II - Daggerfall;;841449600
54;An Elder Scrolls Legend: Battlespire;;880848000
55;The Elder Scrolls Adventures: Redguard;;909792000
56;The Elder Scrolls III: Morrowind;85.0;1020211200
