genre;game_id
Shooter;1
Simulator;1
Adventure;1
Shooter;2
Sport;2
Shooter;3
Shooter;4
Adventure;4
Role-playing (RPG);5
Role-playing (RPG);6
Role-playing (RPG);8
Strategy;8
Turn-based strategy (TBS);8
Tactical;8
Role-playing (RPG);9
Strategy;9
Turn-based strategy (TBS);9
Tactical;9
Adventure;9
Fighting;10
Role-playing (RPG);10
Adventure;10
Shooter;11
Role-playing (RPG);11
Hack and slash/Beat 'em up;11
Role-playing (RPG);12
Adventure;12
Role-playing (RPG);13
Turn-based strategy (TBS);13
Role-playing (RPG);14
Turn-based strategy (TBS);14
Shooter;15
Role-playing (RPG);15
Shooter;16
Role-playing (RPG);16
Sport;16
Role-playing (RPG);17
Strategy;17
Turn-based strategy (TBS);17
Tactical;17
Shooter;18
Shooter;19
Shooter;20
Role-playing (RPG);20
Adventure;20
Shooter;21
Role-playing (RPG);21
Adventure;21
Shooter;22
Role-playing (RPG);22
Real Time Strategy (RTS);26
Strategy;26
Turn-based strategy (TBS);26
Tactical;26
Real Time Strategy (RTS);27
Simulator;27
Strategy;27
Point-and-click;33
Adventure;33
Shooter;34
Racing;34
Real Time Strategy (RTS);34
Role-playing (RPG);34
Strategy;34
Adventure;34
Real Time Strategy (RTS);35
Strategy;35
Real Time Strategy (RTS);36
Strategy;36
Shooter;37
Shooter;38
Fighting;39
Shooter;39
Racing;39
Adventure;39
Shooter;40
Racing;40
Adventure;40
Shooter;41
Role-playing (RPG);41
Shooter;42
Role-playing (RPG);42
Sport;42
Shooter;43
Role-playing (RPG);43
Role-playing (RPG);44
Strategy;44
Hack and slash/Beat 'em up;44
Adventure;44
Role-playing (RPG);45
Strategy;45
Hack and slash/Beat 'em up;45
Role-playing (RPG);46
Strategy;46
Hack and slash/Beat 'em up;46
Adventure;46
Hack and slash/Beat 'em up;47
Adventure;47
Puzzle;48
Hack and slash/Beat 'em up;48
Strategy;51
Tactical;51
Role-playing (RPG);53
Adventure;53
Role-playing (RPG);54
Role-playing (RPG);55
Adventure;55
Role-playing (RPG);56
Adventure;56
Role-playing (RPG);59
Adventure;59
Point-and-click;62
Puzzle;62
Adventure;62
Point-and-click;63
Puzzle;63
Adventure;63
Point-and-click;64
Puzzle;64
Adventure;64
Point-and-click;65
Puzzle;65
Adventure;65
Point-and-click;66
Puzzle;66
Adventure;66
Strategy;68
Turn-based strategy (TBS);68
Strategy;69
Turn-based strategy (TBS);69
Shooter;70
Simulator;70
Strategy;70
Shooter;71
Platform;71
Puzzle;71
Shooter;72
Platform;72
Puzzle;72
Adventure;72
Shooter;73
Role-playing (RPG);73
Shooter;74
Role-playing (RPG);74
Simulator;74
Shooter;75
Role-playing (RPG);75
Adventure;75
Role-playing (RPG);76
Role-playing (RPG);78
Adventure;78
Adventure;79
Role-playing (RPG);80
Role-playing (RPG);83
Hack and slash/Beat 'em up;83
Role-playing (RPG);84
Hack and slash/Beat 'em up;84
Adventure;84
Real Time Strategy (RTS);87
Strategy;87
Adventure;88
Real Time Strategy (RTS);89
Strategy;89
Racing;91
Simulator;91
Racing;92
Simulator;92
Racing;93
Simulator;93
Racing;94
Simulator;94
Racing;95
Simulator;95
Racing;96
Simulator;96
Racing;97
Simulator;97
Racing;98
Simulator;98
Racing;99
Simulator;99
Racing;100
Simulator;100
Sport;100
Racing;101
Arcade;101
Racing;102
Simulator;102
Racing;103
Arcade;103
Racing;104
Simulator;104
Racing;105
Simulator;105
Sport;105
Adventure;105
Arcade;105
Shooter;107
Simulator;107
Tactical;107
Shooter;108
Strategy;108
Tactical;108
Shooter;109
Sport;109
Strategy;109
Adventure;109
Puzzle;111
Adventure;111
Indie;111
Hack and slash/Beat 'em up;112
Adventure;112
Adventure;113
Role-playing (RPG);114
Real Time Strategy (RTS);115
Strategy;115
Role-playing (RPG);116
Adventure;116
Platform;117
Puzzle;117
Adventure;117
Role-playing (RPG);118
Strategy;118
Adventure;118
Fighting;119
Role-playing (RPG);120
Hack and slash/Beat 'em up;120
Adventure;120
Simulator;121
Strategy;121
Adventure;121
Indie;121
Arcade;121
Shooter;122
Role-playing (RPG);123
Adventure;123
Shooter;124
Role-playing (RPG);125
Strategy;125
Role-playing (RPG);126
Hack and slash/Beat 'em up;126
Platform;127
Adventure;127
Platform;128
Adventure;128
Real Time Strategy (RTS);130
Strategy;130
Real Time Strategy (RTS);132
Strategy;132
Hack and slash/Beat 'em up;134
Hack and slash/Beat 'em up;135
Fighting;136
Shooter;136
Hack and slash/Beat 'em up;136
Role-playing (RPG);137
Hack and slash/Beat 'em up;137
Adventure;137
Platform;138
Puzzle;138
Adventure;138
Real Time Strategy (RTS);139
Simulator;139
Strategy;139
Shooter;141
Fighting;142
Shooter;142
Adventure;142
Shooter;143
Racing;143
Real Time Strategy (RTS);144
Strategy;144
Role-playing (RPG);145
Simulator;145
Adventure;145
Shooter;148
Tactical;148
Shooter;149
Simulator;149
Shooter;150
Real Time Strategy (RTS);151
Strategy;151
Shooter;152
Adventure;152
Shooter;153
Adventure;153
Racing;154
Puzzle;155
Adventure;155
Shooter;156
Shooter;157
Adventure;158
Real Time Strategy (RTS);159
Strategy;159
Shooter;162
Shooter;163
Simulator;163
Shooter;164
Adventure;164
Shooter;169
Simulator;169
Simulator;170
Simulator;175
Strategy;175
Racing;177
Sport;177
Point-and-click;180
Puzzle;180
Adventure;180
Point-and-click;181
Puzzle;181
Adventure;181
Adventure;183
Adventure;187
Adventure;188
Platform;189
Adventure;189
Platform;190
Adventure;190
Puzzle;194
Adventure;194
Shooter;196
Simulator;203
Point-and-click;207
Adventure;207
Racing;209
Real Time Strategy (RTS);209
Simulator;209
Strategy;209
Adventure;209
Shooter;210
Adventure;210
Shooter;211
Real Time Strategy (RTS);212
Strategy;212
Adventure;212
Shooter;213
Role-playing (RPG);213
Role-playing (RPG);214
Adventure;214
Role-playing (RPG);215
Role-playing (RPG);216
Adventure;216
Platform;217
Role-playing (RPG);217
Shooter;218
Platform;218
Adventure;218
Shooter;219
Platform;219
Shooter;220
Simulator;220
Point-and-click;221
Adventure;221
Point-and-click;222
Adventure;222
Simulator;223
Strategy;223
Simulator;224
Strategy;224
Real Time Strategy (RTS);230
Strategy;230
Shooter;231
Puzzle;231
Adventure;231
Shooter;233
Role-playing (RPG);234
Strategy;234
Adventure;234
Real Time Strategy (RTS);235
Simulator;235
Strategy;235
Simulator;237
Strategy;237
Puzzle;238
Adventure;238
Real Time Strategy (RTS);239
Strategy;239
Shooter;240
Shooter;241
Real Time Strategy (RTS);242
Strategy;242
Strategy;243
Quiz/Trivia;243
Shooter;244
Strategy;244
Real Time Strategy (RTS);245
Strategy;245
Shooter;247
Puzzle;247
Shooter;250
Adventure;250
Shooter;252
Simulator;252
Sport;252
Role-playing (RPG);253
Adventure;253
Simulator;254
Strategy;254
Role-playing (RPG);255
Strategy;255
