mode;game_id
Single player;1
Single player;2
Single player;3
Single player;4
Single player;5
Co-operative;5
Single player;6
Co-operative;6
Single player;8
Single player;9
Single player;10
Single player;11
Single player;12
Multiplayer;12
Single player;13
Single player;14
Single player;15
Single player;16
Single player;17
Multiplayer;17
Single player;18
Single player;19
Single player;20
Single player;21
Multiplayer;21
Single player;22
Co-operative;22
Single player;26
Single player;27
Multiplayer;27
Single player;33
Single player;34
Multiplayer;34
Single player;35
Multiplayer;35
Single player;36
Multiplayer;36
Single player;37
Single player;38
Multiplayer;38
Co-operative;38
Single player;39
Single player;40
Single player;41
Single player;42
Single player;43
Single player;44
Multiplayer;44
Single player;45
Multiplayer;45
Single player;46
Multiplayer;46
Single player;47
Single player;48
Single player;51
Multiplayer;51
Single player;53
Single player;54
Single player;55
Single player;56
Single player;59
Single player;62
Single player;63
Single player;64
Single player;65
Single player;66
Single player;68
Multiplayer;68
Single player;69
Multiplayer;69
Single player;70
Single player;71
Single player;72
Co-operative;72
Split screen;72
Single player;73
Single player;74
Single player;75
Multiplayer;75
Single player;76
Single player;78
Single player;79
Multiplayer;79
Co-operative;79
Single player;80
Single player;83
Co-operative;83
Single player;84
Multiplayer;84
Co-operative;84
Single player;87
Multiplayer;87
Single player;88
Single player;89
Multiplayer;89
Single player;91
Multiplayer;91
Single player;92
Multiplayer;92
Single player;93
Multiplayer;93
Single player;94
Multiplayer;94
Single player;95
Split screen;95
Single player;96
Multiplayer;96
Split screen;96
Single player;97
Multiplayer;97
Split screen;97
Single player;98
Multiplayer;98
Split screen;98
Single player;99
Multiplayer;99
Split screen;99
Single player;100
Multiplayer;100
Single player;101
Multiplayer;101
Single player;102
Multiplayer;102
Single player;103
Multiplayer;103
Massively Multiplayer Online (MMO);104
Single player;105
Multiplayer;105
Co-operative;105
Massively Multiplayer Online (MMO);105
Single player;107
Multiplayer;107
Co-operative;107
Single player;108
Multiplayer;108
Single player;109
Single player;111
Single player;112
Single player;113
Multiplayer;113
Massively Multiplayer Online (MMO);114
Single player;115
Multiplayer;115
Co-operative;115
Single player;116
Single player;117
Single player;118
Single player;119
Multiplayer;119
Single player;120
Multiplayer;120
Co-operative;120
Single player;121
Multiplayer;121
Co-operative;121
Split screen;121
Massively Multiplayer Online (MMO);121
Single player;122
Multiplayer;122
Co-operative;122
Multiplayer;123
Massively Multiplayer Online (MMO);123
Single player;124
Multiplayer;124
Co-operative;124
Single player;125
Multiplayer;125
Co-operative;125
Single player;126
Multiplayer;126
Co-operative;126
Single player;127
Single player;128
Single player;130
Multiplayer;130
Single player;132
Multiplayer;132
Single player;134
Single player;135
Single player;136
Single player;137
Multiplayer;137
Single player;138
Multiplayer;138
Single player;139
Multiplayer;139
Single player;141
Multiplayer;141
Co-operative;141
Split screen;141
Single player;142
Multiplayer;142
Co-operative;142
Split screen;142
Single player;143
Split screen;143
Single player;144
Multiplayer;144
Massively Multiplayer Online (MMO);145
Single player;148
Multiplayer;148
Single player;149
Multiplayer;149
Single player;150
Multiplayer;150
Single player;151
Multiplayer;151
Single player;152
Multiplayer;152
Single player;153
Multiplayer;153
Single player;154
Multiplayer;154
Single player;155
Single player;156
Single player;157
Single player;158
Single player;159
Multiplayer;159
Single player;162
Single player;163
Single player;164
Single player;169
Multiplayer;169
Single player;170
Single player;175
