platform;game;date;category
6;26;867628800;0
6;375;930182400;0
11;474;1036454400;0
5;401;1257984000;0
38;395;1167609600;2
39;475;1221523200;0
12;416;1145318400;0
6;457;1363046400;0
5;138;1258416000;0
6;542;1304985600;0
34;121;1317945600;0
6;183;828316800;1
6;40;1282608000;0
6;72;1303171200;0
6;237;917740800;0
6;462;1172188800;0
9;514;1308614400;0
3;285;883612800;2
14;116;1337040000;0
3;326;1072915200;1
6;545;1289260800;0
6;20;1187913600;0
14;183;828316800;1
6;234;1112313600;1
45;157;1272499200;0
3;478;1400716800;0
14;584;972864000;0
48;112;1435017600;0
6;384;1418256000;0
6;543;1311033600;0
6;518;1161648000;0
6;220;1209427200;0
48;121;1409788800;0
45;337;1325289600;2
49;427;1553558400;0
14;307;1277251200;0
6;596;1314316800;0
12;524;1306195200;0
9;4;1393286400;0
6;593;1108080000;0
130;427;1553558400;0
6;209;1191888000;0
14;190;1167609600;2
39;118;;7
14;457;1363046400;0
49;421;1550016000;0
6;582;907113600;0
11;583;1019433600;0
6;45;1203033600;0
12;355;1292371200;0
6;19;1199404800;0
6;538;1364169600;0
12;21;1265673600;0
48;576;1384473600;0
130;121;1494547200;0
34;626;;7
6;324;1035936000;0
9;64;1276560000;0
8;568;1252972800;0
9;137;1288051200;0
9;561;1252368000;0
3;441;1417996800;0
48;421;1505779200;0
7;158;936057600;0
6;259;999043200;0
3;280;1096848000;0
23;272;984528000;0
21;223;1048550400;0
12;510;1308009600;0
48;512;1444176000;0
9;511;1306886400;1
12;503;1285632000;0
6;622;1130198400;0
6;107;1066694400;0
14;466;1235088000;0
3;307;1360022400;0
6;451;1254787200;0
9;503;1285632000;0
12;376;;7
11;376;;7
9;376;;7
46;376;;7
14;263;883612800;2
14;14;907113600;0
5;103;1257206400;0
14;120;1337040000;0
14;362;841795200;0
14;297;1362528000;0
48;111;1479772800;0
14;111;1283904000;0
6;638;915062400;0
3;297;1361404800;0
3;111;1283904000;0
14;639;875577600;0
6;73;1211932800;0
9;560;1266278400;0
6;43;1314057600;0
20;138;1258416000;0
6;13;875577600;0
14;154;949363200;1
13;207;817689600;0
12;505;1306800000;0
6;292;1021593600;0
8;187;1056585600;0
9;531;1318464000;0
6;421;1460592000;0
12;361;1224547200;0
49;570;1436832000;0
36;546;1249948800;0
12;119;1303171200;0
12;260;1288310400;0
6;495;1268697600;0
39;260;1288310400;0
6;568;1469491200;0
7;634;885254400;0
13;51;846720000;0
14;239;1280188800;0
12;321;1178755200;0
14;273;895795200;0
3;71;1367452800;0
36;71;1224633600;0
6;553;1290643200;0
12;533;1349740800;0
49;359;1480377600;0
6;528;1307404800;0
9;20;1224201600;0
9;528;1307404800;0
13;8;820368000;2
6;241;929145600;0
7;583;1019779200;0
38;383;1293840000;5
92;589;1293753600;6
9;555;1277164800;0
39;562;1271116800;0
14;626;867628800;0
14;162;815184000;1
9;75;1330992000;0
3;233;1368057600;0
23;243;970185600;0
12;571;1245888000;0
12;618;1222128000;0
45;73;1354665600;0
14;586;1347148800;0
6;275;1173916800;0
8;625;1226361600;0
14;432;1300147200;0
6;482;1067558400;0
8;483;1087430400;0
6;252;915062400;0
6;69;1046131200;0
6;9;932688000;0
6;533;1350000000;0
14;253;1351209600;0
49;568;1469664000;0
6;244;1376956800;0
37;506;1293840000;6
14;207;817689600;0
6;507;1346889600;0
3;527;1355961600;0
92;489;1382572800;0
92;571;1277942400;0
8;134;998524800;0
9;496;1285286400;0
6;496;1285632000;0
14;152;1337040000;0
9;351;1247097600;0
6;272;943920000;0
6;187;1048550400;0
14;187;1070409600;0
5;503;1285632000;0
6;527;1321920000;0
8;475;1221523200;0
12;137;1288051200;0
12;138;1258416000;0
12;15;1225152000;0
13;342;822873600;0
9;15;1225152000;0
7;342;881539200;0
6;313;943315200;0
6;39;1030492800;0
8;474;1040256000;0
8;411;1021507200;0
6;306;1080000000;0
14;538;1377734400;0
12;529;1354060800;0
8;405;1145318400;0
6;561;1259625600;0
9;45;1214092800;0
9;44;1214092800;0
6;95;1035158400;0
48;359;1480377600;0
20;476;1257206400;0
12;112;1201737600;0
9;21;1265673600;0
8;136;1108598400;0
14;478;1350518400;0
5;47;1245715200;0
6;505;1306800000;0
14;363;859852800;1
14;124;1283644800;0
9;625;1226361600;0
3;333;835401600;0
6;212;1361836800;0
6;280;1091491200;0
9;557;1269561600;0
38;397;1167609600;2
6;572;1245196800;0
14;594;1004400000;0
6;583;1019779200;0
6;4;1393286400;0
6;520;1234224000;0
6;75;1330992000;0
8;418;995500800;0
6;405;1145318400;0
8;409;1095292800;0
92;495;1268697600;0
12;542;1304985600;0
14;542;1304985600;0
48;570;1436832000;0
49;513;1609372800;2
7;422;945388800;0
6;363;844128000;0
6;493;1561334400;0
5;105;1289865600;0
14;280;1110758400;0
8;416;1050537600;0
23;584;972864000;0
6;606;1005091200;0
14;617;1128384000;0
20;400;1156377600;0
12;109;1305590400;0
13;592;833500800;0
9;475;1221523200;0
12;351;1247011200;0
12;342;1222214400;0
8;479;1135209600;0
12;402;1195516800;0
14;71;1273622400;0
9;189;1212451200;0
20;189;1212451200;0
6;557;1269561600;0
9;559;1257033600;1
9;497;1342569600;0
32;238;867715200;1
7;238;880848000;0
12;530;1353369600;0
130;134;1561420800;0
6;300;1048377600;0
6;120;1337040000;0
6;386;1377561600;0
11;297;1080000000;0
6;223;949622400;0
6;529;1354060800;0
130;576;1565049600;0
9;119;1303171200;0
6;585;867974400;0
6;321;1175040000;0
6;489;1298937600;0
14;238;878083200;0
6;336;1221696000;0
11;439;1128643200;0
20;260;1288310400;0
32;342;852076800;2
22;188;985910400;0
21;439;1128643200;0
39;65;1248220800;0
6;494;1298678400;0
92;595;1506643200;0
6;231;1063324800;0
6;399;1410912000;0
130;280;1564099200;0
12;541;1332806400;0
6;491;1377561600;0
14;33;791596800;0
6;116;1252108800;0
6;164;874454400;0
41;121;1450310400;0
9;529;1354060800;0
38;542;1304985600;0
14;17;1388448000;2
5;542;1304985600;0
11;79;1129593600;0
12;212;1255392000;0
9;520;1234224000;0
38;319;1192492800;0
9;568;1252972800;0
14;342;864518400;0
6;567;1246752000;0
6;12;960336000;0
92;305;1114473600;0
14;123;1101168000;0
6;255;998352000;0
6;333;835401600;0
6;355;944092800;0
13;600;807148800;0
130;152;1569283200;0
6;631;878256000;0
6;338;1149120000;0
6;356;1312416000;0
9;386;1377561600;0
38;189;1212451200;0
6;608;851990400;2
6;33;791596800;0
6;105;1289865600;0
21;95;1033344000;0
13;309;812419200;0
6;609;823046400;0
34;562;1271116800;0
6;573;1241136000;0
20;392;1177545600;0
3;9;932688000;0
12;44;1182816000;0
9;127;1258416000;0
9;541;1332806400;0
6;364;920160000;0
6;615;1106697600;0
13;626;867628800;0
12;543;1311033600;0
6;605;867628800;0
9;618;1222128000;0
6;44;1182816000;0
9;73;1354579200;0
92;287;1290124800;0
6;442;1266883200;0
39;112;1296691200;0
9;71;1192060800;0
6;121;1321574400;0
14;121;1321574400;0
49;112;1435017600;0
6;352;1267488000;0
49;576;1461888000;0
6;295;1220140800;0
6;169;920160000;0
3;216;1056067200;0
13;70;825984000;0
5;189;1212451200;0
12;430;1246320000;0
6;93;929836800;0
8;439;1128643200;0
6;10;1113264000;0
9;485;1222732800;0
39;18;1334188800;0
6;639;875577600;0
14;338;1274832000;0
48;568;1469491200;0
39;66;1277510400;0
6;190;1157932800;0
7;51;870307200;0
6;311;899164800;0
14;784;804470400;0
11;908;1067385600;0
24;696;1159142400;0
21;702;1036108800;0
6;712;1059436800;0
14;743;1250640000;0
6;716;1256860800;0
11;841;1015286400;0
7;1175;860716800;0
6;994;1204243200;0
20;1165;1110412800;0
6;887;970790400;0
6;888;1194307200;0
6;891;1191888000;0
6;1082;1363910400;0
7;1176;942883200;0
6;691;891302400;0
24;915;1035763200;0
8;733;1035676800;0
45;999;1256169600;0
21;696;1159142400;0
11;776;1029110400;0
39;1007;1293840000;2
8;874;1080000000;0
6;722;938649600;0
8;702;1035504000;0
8;732;1098748800;0
6;772;909792000;0
11;777;1060560000;0
6;814;969926400;0
11;907;1140739200;0
14;733;1314230400;0
47;1094;1198454400;0
12;847;1236211200;0
22;1179;999820800;0
5;974;1180569600;0
6;861;862358400;0
13;791;815097600;0
49;1184;1438041600;0
14;866;1290470400;0
3;866;1402444800;0
6;844;1301961600;0
7;793;949276800;0
6;870;1110844800;0
9;983;1236038400;0
14;927;1079395200;0
22;697;938304000;0
6;921;1008460800;0
6;922;985737600;0
42;1193;1090972800;0
12;982;1329782400;0
38;945;1164931200;0
9;954;1283817600;0
14;689;1056412800;0
6;665;1255996800;0
9;1164;1362441600;0
6;879;1173916800;0
6;780;1363046400;0
12;1056;1325376000;2
8;1048;1148601600;0
13;665;851990400;0
6;643;852076800;1
11;732;1118102400;0
14;647;809827200;0
29;809;817689600;0
11;797;1032220800;0
6;800;879465600;0
49;1121;1401148800;0
8;875;1189555200;0
14;655;828230400;0
14;918;875577600;0
6;959;1225152000;0
12;1121;1401148800;0
24;815;1015459200;0
48;1081;1433808000;0
6;816;1064188800;0
6;829;904521600;0
9;1122;1352764800;0
6;1057;1326931200;0
6;904;1036454400;0
8;905;1064188800;0
7;818;877564800;0
45;843;1229558400;0
3;926;1033430400;0
7;880;885340800;0
6;995;1267488000;0
14;797;989193600;0
7;808;1033948800;0
14;1081;1396569600;0
6;797;989193600;0
130;974;1558396800;0
6;799;912384000;0
14;799;912384000;0
22;812;905385600;0
6;813;936057600;0
11;816;1064188800;0
45;912;1250121600;0
14;741;1259884800;0
33;1095;875664000;0
14;946;1192665600;0
21;970;1037059200;0
21;856;1033344000;0
11;1189;1096588800;0
6;1005;1111708800;0
7;1192;938649600;0
39;753;1415404800;0
20;1190;1192752000;0
6;835;993427200;0
6;823;925430400;0
6;1004;1128384000;0
36;821;1113264000;0
11;1194;1129680000;0
3;781;1041379200;2
6;1160;974419200;0
39;868;1311206400;0
13;663;820454400;2
6;1001;1292803200;0
6;939;1378771200;0
6;779;901756800;0
12;783;1276560000;0
6;984;1290384000;0
9;997;1262908800;0
11;726;1053648000;0
11;719;1064534400;0
6;674;1127260800;0
6;905;1064188800;0
3;661;1111104000;0
6;1017;1282780800;0
6;947;883526400;0
12;1013;1327968000;0
48;1082;1459209600;0
7;915;1035331200;0
38;946;1193097600;0
29;704;812419200;0
20;1099;1186617600;0
7;966;937958400;0
8;1049;1082419200;0
6;958;972172800;0
19;705;852076800;2
4;705;882576000;0
30;704;812419200;0
5;982;1321315200;0
39;983;1260316800;0
6;699;897436800;0
24;1098;1107475200;0
6;773;880848000;0
20;696;1159142400;0
6;729;909792000;0
13;655;828230400;0
32;647;851990400;0
6;1015;1063411200;0
6;946;1192665600;0
39;1057;1326931200;0
36;1057;1325376000;2
45;1187;1190851200;0
20;1191;1223337600;0
48;1014;1451520000;6
6;679;951868800;0
6;1012;1326153600;0
6;1126;1546214400;2
12;984;1283472000;0
7;814;970099200;0
12;884;1234396800;0
12;959;1226275200;0
34;828;1288483200;0
6;709;1017100800;0
3;680;1192752000;0
49;986;1415664000;0
6;830;928108800;0
6;688;880848000;0
49;987;1415664000;0
49;991;1415664000;0
6;999;878256000;0
6;929;843436800;0
6;661;1121299200;0
92;1017;1381795200;0
14;1017;1305590400;0
130;873;1557446400;0
12;833;1253750400;0
6;1021;1360627200;0
9;1021;1360627200;0
12;1021;1360627200;0
3;1017;1381795200;0
14;1162;1446768000;0
12;1020;1379376000;0
92;1010;1298332800;0
34;912;1427846400;0
6;764;901843200;0
39;919;1254873600;0
8;907;1140739200;0
8;904;1035849600;0
3;857;983404800;0
14;803;1013644800;0
14;763;1273622400;0
3;799;912384000;0
8;703;1097193600;0
6;719;1064534400;0
6;715;938649600;0
6;702;1036108800;0
6;755;1046563200;0
13;747;844041600;0
6;756;1078185600;0
6;762;922838400;0
6;726;1053648000;0
45;854;1318896000;0
21;776;1029110400;0
6;1002;1292803200;0
5;984;1289260800;0
6;733;1051747200;0
45;769;1282089600;0
6;774;1226880000;0
7;675;930700800;0
12;1190;1191456000;0
6;743;1250640000;0
9;1056;1325376000;2
19;1073;807580800;0
6;914;1017273600;0
24;914;1015200000;0
6;917;907200000;1
6;931;901929600;1
14;948;925516800;1
3;742;957398400;0
14;865;1163462400;0
12;987;1190678400;0
21;1003;1052870400;0
6;838;915062400;0
6;757;879379200;0
6;1159;1056067200;0
6;1121;1401148800;0
6;980;1046476800;1
6;766;1095638400;0
6;1081;1396569600;0
4;779;901756800;0
9;891;1195776000;0
6;824;1224460800;0
8;824;1225756800;0
14;753;962236800;0
14;1024;1284422400;0
9;984;1284076800;0
11;925;1083628800;0
39;912;1387238400;0
13;889;846720000;0
39;1002;1419984000;2
14;1163;1226966400;0
20;1166;1172534400;0
45;1186;1188432000;0
12;846;1243900800;0
6;682;1005523200;0
11;1042;1158883200;0
6;768;1059609600;0
6;683;1169510400;0
5;970;1215648000;0
9;837;1289865600;0
6;908;1047945600;0
36;933;1134518400;0
21;880;1042502400;0
6;827;1270857600;0
6;845;909705600;0
6;850;976060800;0
6;855;952387200;0
8;1171;1080777600;0
6;992;1005004800;0
38;700;1126396800;0
6;730;1021852800;0
12;1122;1352764800;0
14;840;1067212800;0
4;843;941155200;0
6;867;876787200;0
8;808;1033948800;0
6;667;1397520000;0
19;809;812505600;1
11;914;1015200000;0
12;782;1283817600;0
4;951;912384000;0
14;804;1045094400;0
8;1047;1067558400;0
7;817;846720000;0
9;875;1189555200;0
6;646;959817600;0
7;697;938304000;0
14;934;817776000;1
13;810;820454400;2
5;1163;1226966400;0
20;1174;1288224000;0
14;717;1288915200;0
6;645;1035849600;0
6;1031;1187136000;0
45;1192;1192665600;0
6;750;1063670400;0
13;934;817776000;1
14;981;1386806400;0
6;1020;1428969600;0
6;979;1320710400;0
12;891;1191888000;0
12;990;1284422400;0
5;1078;1274572800;0
6;1156;880329600;0
7;1186;878256000;0
39;730;1323907200;0
34;730;1322697600;0
170;1081;;7
6;652;875059200;0
13;652;875059200;0
6;736;1129334400;0
11;748;1033344000;0
6;776;1029110400;0
11;905;1064188800;0
11;906;1095638400;0
11;915;1035331200;0
3;672;1116892800;0
14;910;1088553600;4
21;1030;1068163200;0
12;1059;1328572800;0
6;1144;1298592000;0
6;738;1115078400;0
14;732;1289520000;0
7;746;922838400;0
5;975;1194912000;0
11;815;1007942400;0
22;948;948240000;0
12;1191;1223337600;0
38;1191;1224547200;0
92;1055;1315958400;0
6;690;976060800;0
6;692;888624000;0
6;701;1004572800;0
14;945;1161302400;0
6;869;1011744000;0
11;1004;1128384000;0
6;966;961113600;0
14;1158;960768000;0
6;1048;1148601600;0
3;863;965088000;1
6;934;817776000;1
9;1043;1242086400;0
6;1044;1147219200;0
20;1141;1225065600;0
24;702;1037664000;0
6;752;992390400;0
37;976;1306972800;0
45;1195;1206057600;0
48;733;1449273600;0
33;809;822268800;0
9;979;1320710400;0
5;1113;1283212800;0
9;846;1243900800;0
6;1042;1158883200;0
6;664;880848000;0
6;889;846720000;0
6;1003;1052870400;0
32;912;844128000;1
12;954;1283817600;0
6;660;933379200;0
6;693;852076800;1
45;1235;1165881600;0
52;1238;1315958400;0
52;1246;1101859200;1
8;1246;1112227200;0
8;1207;1134604800;0
7;1622;898646400;0
32;1621;834883200;0
29;1621;835315200;0
39;1621;1292457600;0
6;1746;1006992000;0
45;1243;1163116800;0
36;1277;1283904000;0
11;1298;1100563200;0
6;1605;1437436800;0
55;1507;1158278400;0
6;1496;846720000;0
46;1530;1371772800;0
39;1684;1292803200;0
8;1528;1007337600;0
21;1562;1031529600;0
47;1499;1211241600;0
46;1277;1329868800;0
21;1644;1076457600;0
34;1331;1423612800;0
14;1585;1318464000;0
37;1585;1318464000;0
11;1296;1060128000;0
37;1697;1333497600;0
12;1365;1406678400;0
49;1365;1431388800;0
37;1586;1350432000;0
12;1236;1256601600;0
9;1584;1224547200;0
11;1339;1139529600;0
14;1373;1355961600;0
22;1326;908928000;0
8;1323;1097539200;0
6;1667;794793600;0
6;1410;1067644800;1
8;1294;1038700800;0
52;1247;1196035200;0
6;1363;1353283200;0
39;1351;1266451200;0
55;1459;1157414400;0
