id;name;aggregated_rating;first_release_date
111130;Apsulov: End of Gods;;1565222400
38967;Cooking Simulator;;1559779200
102584;Dying Light 2;;1593475200
114286;Madden NFL 20;75.5;1564704000
55984;Blacksad: Under the Skin;;1572912000
96217;Eternity: The Last Unicorn;54.0;1551744000
19561;Days Gone;75.0909090909091;1556236800
105049;Remnant: From the Ashes;77.0;1566259200
54842;Biomutant;;1577750400
36198;Children of Morta;79.0;1567468800
13196;Tears of Avia;;1577750400
106987;Torchlight Frontiers;;1577750400
115653;Pokémon Shield;;1573776000
106992;A Fisherman's Tale;;1548115200
55029;Age of Empires IV;;1577750400
119156;Pokémon Masters;0.0;1567036800
113114;The Outer Worlds;91.1666666666667;1571961600
55199;Dragon: Marked for Death;67.0;1548892800
78511;Forza Motorsport 8;;1609372800
107318;Rebel Galaxy Outlaw;76.0;1565654400
103301;Wolfenstein: Youngblood;71.25;1564099200
120268;Zombie Driver: Immortal Edition;;1564012800
19164;Borderlands 3;81.8461538461538;1568332800
103303;The Elder Scrolls: Blades;;1553731200
26845;Fire Emblem: Three Houses;92.7777777777778;1564099200
44242;Junkyard Simulator;;1577750400
114287;FIFA 20;78.8571428571429;1569542400
55190;Pikuniku;74.8;1548288000
10032;Ancestors: The Humankind Odyssey;65.0;1566864000
114455;Pacify;;1550793600
