mode;game_id
Single player;111130
Single player;38967
Single player;102584
Co-operative;102584
Single player;114286
Single player;55984
Single player;96217
Single player;19561
Single player;105049
Co-operative;105049
Single player;54842
Single player;36198
Co-operative;36198
Single player;13196
Single player;106987
Massively Multiplayer Online (MMO);106987
Single player;115653
Multiplayer;115653
Single player;106992
Single player;55029
Multiplayer;55029
Single player;113114
Single player;55199
Co-operative;55199
Single player;78511
Multiplayer;78511
Single player;107318
Single player;103301
Multiplayer;103301
Co-operative;103301
Multiplayer;120268
Single player;19164
Multiplayer;19164
Single player;103303
Single player;26845
Single player;44242
Single player;55190
Co-operative;55190
Single player;10032
Single player;114455
Multiplayer;114455
Co-operative;114455
