platform;game;date;category
14;114455;1550793600;0
6;114455;1550793600;0
130;26845;1564099200;0
6;96217;1551744000;0
48;96217;1551744000;0
130;103301;1564099200;0
6;55029;1577750400;6
48;103301;1564099200;0
49;103301;1564099200;0
6;103301;1564099200;0
6;105049;1566259200;0
48;105049;1566259200;0
49;19164;1568332800;0
49;105049;1566259200;0
6;19164;1568332800;0
48;19164;1568332800;0
49;96217;1555372800;0
39;103303;1553731200;0
34;103303;1553731200;0
6;106987;1577750400;2
130;55984;1574899200;0
14;55984;1572912000;0
48;55984;1572912000;0
49;55984;1572912000;0
6;55984;1572912000;0
6;55190;1548288000;0
130;55190;1548288000;0
49;103303;;7
6;114286;1564704000;0
49;114286;1564704000;0
48;114286;1564704000;0
130;115653;1573776000;0
6;10032;1598486400;0
48;10032;1609372800;2
49;10032;1609372800;2
49;78511;1609372800;6
6;78511;1609372800;6
6;114287;1569542400;0
49;114287;1569542400;0
6;102584;1593475200;4
48;102584;1593475200;4
49;102584;1593475200;4
48;113114;1571961600;0
49;113114;1571961600;0
6;113114;1571961600;0
6;38967;1559779200;0
130;120268;1564012800;0
49;54842;1577750400;2
130;103303;1577750400;2
49;106987;1577750400;2
34;119156;1567036800;0
39;119156;1567036800;0
48;107318;1577750400;6
130;107318;1577750400;6
49;13196;1577750400;0
6;13196;1577750400;0
14;13196;1577750400;0
6;111130;1565222400;0
130;113114;;7
48;36198;1571097600;0
6;36198;1567468800;0
49;36198;1571097600;0
14;36198;1567468800;0
130;36198;1571097600;0
6;107318;1565654400;0
170;19164;1568332800;0
170;103301;;7
6;44242;1577750400;2
48;19561;1556236800;0
6;103303;;7
48;103303;;7
130;55199;1548892800;0
165;106992;1548115200;0
163;106992;1548115200;0
162;106992;1548115200;0
162;103303;;7
48;106987;1577750400;2
6;54842;1577750400;2
48;54842;1577750400;2
